framework,control_family,control_id,category,title,criterion_text,points_of_focus,source_code_relevance,keywords,artifact_types,evidence_indicators,testing_approach,source_code_signal,severity
SOC2,CC6,CC6.1,Logical and Physical Access Controls,Logical Access Restrictions,"The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives. Controls include user identification and authentication, network segmentation, and encryption.",Identifies and inventories information assets|Restricts logical access to information assets|Identifies and authenticates users prior to granting access|Considers network segmentation to isolate sensitive systems|Manages credentials and authentication infrastructure|Protects encryption keys and other credentials from unauthorized use,"Look for: authentication middleware, JWT/session validation, RBAC enforcement, MFA checks, network segmentation config, TLS enforcement, environment-based access gating.",authentication|rbac|jwt|mfa|session|access_control|middleware|authorize|permissions|least_privilege|network_segment,source_code|config,jwt.verify|verifyToken|checkPermission|@RoleRequired|requireAuth|mfa_required|algorithms: ['RS256']|allowedOrigins|helmet(),"Confirm auth middleware on protected routes, RBAC enforced at service layer, MFA conditional logic present, JWT validated for issuer and expiry.",high,critical
SOC2,CC6,CC6.2,Logical and Physical Access Controls,User Provisioning and Deprovisioning,"Prior to issuing system credentials and granting system access, the entity registers and authorizes new internal and external users. For those users whose access is administered by the entity, user system credentials are removed when user access is no longer authorized.",Controls access credentials based on authorization|Removes access when user is no longer authorized|Reviews appropriateness of access on a periodic basis|Restricts access to register and authorize new users|Manages credentials for external parties including vendors and partners,"Look for: user registration flows, account creation API, account deactivation/deletion logic, access revocation on offboarding triggers, role assignment at creation time.",user_registration|account_creation|deactivate_user|revoke_access|delete_account|offboarding|role_assignment|user_provisioning,source_code,createUser|deactivateUser|revokeToken|deleteAccount|user.is_active = false|account_status: 'disabled'|removeRole|suspendUser,Confirm code paths exist for both user creation with role assignment and access revocation/deactivation on termination events.,high,high
SOC2,CC6,CC6.3,Logical and Physical Access Controls,Role-Based Access and Least Privilege,"The entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and related policies, maintaining least privilege and segregation of duties principles.",Creates and maintains defined access roles for authorized users|Implements role-based access controls restricting access to authorized functions|Maintains segregation of duties preventing single person control over critical processes|Reviews access roles periodically and adjusts as business needs change|Restricts privileged access to authorized users,"Look for: RBAC implementations, permission checks on routes, role definitions, IaC IAM policies with bounded action sets, admin vs user segregation.",rbac|least_privilege|role|permission|scope|segregation_of_duties|iam_policy|policy_document|access_level|admin_role,source_code|config,role: 'admin'|role: 'viewer'|hasPermission|Action: ['s3:GetObject']|Effect: Allow|minimumRole|checkRole|scope: ['read']|requireAdmin,"Verify role definitions are narrowly scoped, admin functions are gated, IaC IAM policies avoid wildcard actions like Action: '*'.",high,high
SOC2,CC6,CC6.4,Logical and Physical Access Controls,Physical Access Restrictions,"The entity restricts physical access to facilities and protected information assets (for example, data center equipment, backup media) to authorized personnel to meet the entity's objectives.",Restricts physical access to facilities and protected assets to authorized individuals|Manages physical access to hardware devices and equipment|Controls visitor access with escort and logging requirements|Maintains physical access logs for sensitive areas,Minimal source code signal. Cloud-hosted orgs inherit physical controls from their CSP. May find cloud region/provider configs. Flag for manual reviewer.,datacenter|physical_access|facility|cloud_region|colocation|cloud_provider,config,region: us-east-1|cloud_provider|aws|gcp|azure|datacenter|colocation,For cloud-hosted systems confirm cloud provider is named (physical controls inherited). Flag any self-hosted infra for manual reviewer follow-up.,none,high
SOC2,CC6,CC6.5,Logical and Physical Access Controls,Data Disposal and Asset Decommissioning,The entity discontinues logical and physical protections over physical assets only after the ability to read or recover information from those assets has been diminished and is no longer required to meet the entity's objectives.,Removes data from assets scheduled for disposal using industry-standard processes|Protects assets slated for disposal until data is no longer recoverable|Documents disposal procedures for physical and logical media|Implements automated deletion schedules aligned to data classification,"Look for: data deletion/purge jobs, retention policy constants, anonymization logic on user termination, scheduled cleanup cron jobs.",data_deletion|purge|wipe|retention_policy|anonymize|decommission|scheduled_deletion|data_lifecycle,source_code,deleteUserData|purgeRecords|anonymize_pii|retention_days|scheduled_deletion|wipeData|cron|RETENTION_PERIOD,"Look for scheduled data purge jobs, user account deletion logic, anonymization functions tied to retention policy constants.",low,medium
SOC2,CC6,CC6.6,Logical and Physical Access Controls,Boundary Protection Against External Threats,"The entity implements logical access security measures to protect against threats from sources outside its system boundaries, including identifying and managing vulnerabilities, monitoring unauthorized access attempts, and enforcing additional authentication for external access.",Restricts access to information assets from external sources using firewalls or other boundary protection|Protects identification and authentication credentials from external threats|Monitors system boundaries for unauthorized access attempts|Enforces additional authentication requirements for external access|Manages boundary protection of subservice organizations,"Look for: CORS policy config, rate limiting middleware, API gateway and WAF configs, network security group ingress rules in IaC, TLS termination, HTTP-to-HTTPS redirect.",firewall|cors|rate_limit|api_gateway|waf|ingress|network_policy|https_redirect|tls_termination|allowedOrigins,source_code|config,cors({origin:})|rateLimiter|from_port: 443|cidr_blocks|WAFWebACL|app.use(helmet)|allowedOrigins|REDIRECT|protocol: HTTPS|rateLimit(,"Confirm CORS origins are explicitly allowlisted, rate limiting is on public endpoints, network ingress rules restrict open ports, HTTP redirects to HTTPS.",high,high
SOC2,CC6,CC6.7,Logical and Physical Access Controls,Secure Data Transmission and Movement,"The entity restricts the transmission, movement, and removal of information to authorized internal and external users and processes, and protects it during transmission, movement, or removal to meet the entity's objectives.",Restricts the ability to perform data transmission to authorized users|Encrypts personal and sensitive data during transmission using TLS 1.2 or higher|Protects mobile devices used to transmit and store sensitive data|Prevents unauthorized removal of information from the system boundaries|Enforces secure cookie attributes on session tokens,"Look for: TLS version enforcement, HTTPS-only configs, SSL on DB connections, cookie security flags (HttpOnly, Secure, SameSite), secret scanning for exposed keys in transit.",tls|https|ssl|encrypt_transit|sslmode|secure_cookie|httponly|samesite|db_ssl|rejectUnauthorized|minVersion|tls1_2,source_code|config,minVersion: 'TLSv1.2'|rejectUnauthorized: true|sslmode=require|httpOnly: true|secure: true|sameSite: 'strict'|HTTPS|encrypt=true|ssl_required,"Verify TLS minimum version in HTTP client configs, DB connections require SSL, cookies set with HttpOnly+Secure+SameSite, no plaintext secrets in code.",high,critical
SOC2,CC6,CC6.8,Logical and Physical Access Controls,Prevention of Unauthorized or Malicious Software,The entity implements controls to prevent or detect and act upon the introduction of unauthorized or malicious software to meet the entity's objectives.,Detects unauthorized or malicious software through scanning procedures|Monitors system components for the introduction of unauthorized software|Implements allowlisting or other controls to prevent execution of unauthorized software|Scans third-party software and dependencies for known vulnerabilities before use|Protects detection tools from unauthorized access or disabling,"Look for: SAST tools in CI/CD YAML, SCA/dependency scanning steps, lock files committed, Dockerfile base image pinning, artifact integrity checks, pre-commit hooks.",sast|sca|dependency_scan|semgrep|codeql|snyk|npm_audit|pip_audit|trivy|lockfile|package_lock|dockerfile|pre_commit,source_code|config,uses: github/codeql-action|snyk test|npm audit|pip-audit|trivy|semgrep|package-lock.json|yarn.lock|FROM node:20-alpine|--production|.pre-commit-config.yaml,"Confirm SAST step in CI pipeline YAML, SCA scan runs before deploy, base images are pinned not 'latest', lock files are committed to repo.",high,high
SOC2,CC7,CC7.1,System Operations,Vulnerability Detection and Management,"To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities.",Uses a defined vulnerability management program to identify and remediate vulnerabilities|Monitors industry sources for new vulnerabilities and threats|Performs vulnerability scanning on system components|Implements penetration testing to identify and assess vulnerabilities|Prioritizes vulnerabilities based on risk for timely remediation,"Look for: Dependabot or Renovate config, scheduled security scan configs, CVE scan integrations in CI/CD, pinned dependency versions, CVSS threshold gates.",vulnerability|dependabot|renovate|cve|nvd|security_scan|pip_audit|npm_audit|snyk|trivy|grype|cvss,source_code|config,.github/dependabot.yml|renovate.json|snyk test|trivy image|grype|npm audit --audit-level|security_scan|CRITICAL|HIGH vulnerability|fail_on_severity,"Confirm automated dependency update or vulnerability scan config exists, CI pipeline fails on high/critical CVEs, scan results are captured as build artifacts.",high,high
SOC2,CC7,CC7.2,System Operations,Security Event Monitoring and Alerting,"The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives, and generates alerts when such anomalies are detected.","Implements detection policies that define the frequency and method of monitoring|Monitors infrastructure and software for anomalous behavior|Monitors for unauthorized access attempts and unusual access patterns|Implements threshold-based alerts for security-relevant events|Generates audit records including system components, user identification, and actions taken","Look for: structured audit logging on auth events, centralized log forwarding config, alerting definitions in IaC, failed login attempt logging, security event triggers.",audit_log|monitoring|alert|security_event|failed_login|anomaly|cloudwatch|datadog|sentry|structured_log|log_forwarding|winston|pino,source_code|config,logger.warn('Failed login')|auditLog|MetricName|Threshold|log_driver: awslogs|winston.createLogger|json()|userId in log|alert_on_failure|security_event,"Verify audit log calls on auth events (login, logout, failed attempts, privilege changes), logs output structured JSON, log forwarding config points to centralized sink.",high,high
